Timestamp PC,Voltage (V),Current (A),Label
2025-08-05 19:22:25.492,326.49,0.06000000,2
2025-08-05 19:22:25.670,326.49,0.06000000,2
2025-08-05 19:22:25.842,328.57,0.06000000,2
2025-08-05 19:22:26.030,328.57,0.06000000,2
2025-08-05 19:22:26.201,328.57,0.06000000,2
2025-08-05 19:22:26.392,328.61,0.06000000,2
2025-08-05 19:22:26.572,328.61,0.06000000,2
2025-08-05 19:22:26.760,328.61,0.06000000,2
2025-08-05 19:22:26.942,230.46,0.06000000,2
2025-08-05 19:22:27.122,230.46,0.06000000,2
2025-08-05 19:22:27.312,230.46,0.02000000,2
2025-08-05 19:22:27.491,54.97,0.02000000,2
2025-08-05 19:22:27.671,54.97,0.02000000,2
2025-08-05 19:22:27.860,54.97,0.00000000,2
2025-08-05 19:22:28.040,0.00,0.00000000,2
2025-08-05 19:22:28.222,0.00,0.00000000,2
2025-08-05 19:22:28.410,0.00,0.03000000,2
2025-08-05 19:22:28.590,162.31,0.03000000,2
2025-08-05 19:22:28.780,162.31,0.03000000,2
2025-08-05 19:22:28.960,162.31,0.00000000,2
2025-08-05 19:22:29.140,0.00,0.00000000,2
2025-08-05 19:22:29.330,0.00,0.00000000,2
2025-08-05 19:22:29.512,0.00,0.00000000,2
2025-08-05 19:22:29.692,164.09,0.00000000,2
2025-08-05 19:22:29.862,164.09,0.00000000,2
2025-08-05 19:22:30.032,164.09,0.02000000,2
2025-08-05 19:22:30.222,119.31,0.02000000,2
2025-08-05 19:22:30.400,119.31,0.02000000,2
2025-08-05 19:22:30.572,119.31,0.00000000,2
2025-08-05 19:22:30.760,119.31,0.00000000,2
2025-08-05 19:22:30.940,0.00,0.00000000,2
2025-08-05 19:22:31.122,0.00,0.00000000,2
2025-08-05 19:22:31.310,0.00,0.00000000,2
2025-08-05 19:22:31.492,211.24,0.00000000,2
2025-08-05 19:22:31.672,211.24,0.02000000,2
2025-08-05 19:22:31.860,211.24,0.02000000,2
2025-08-05 19:22:32.042,38.32,0.02000000,2
2025-08-05 19:22:32.220,38.32,0.00000000,2
2025-08-05 19:22:32.410,38.32,0.00000000,2
2025-08-05 19:22:32.580,0.00,0.00000000,2
2025-08-05 19:22:32.753,0.00,0.04000000,2
2025-08-05 19:22:32.922,0.00,0.04000000,2
2025-08-05 19:22:33.110,145.20,0.04000000,2
2025-08-05 19:22:33.290,145.20,0.00000000,2
2025-08-05 19:22:33.473,145.20,0.00000000,2
2025-08-05 19:22:33.652,0.00,0.00000000,2
2025-08-05 19:22:33.841,0.00,0.00000000,2
2025-08-05 19:22:34.020,0.00,0.00000000,2
2025-08-05 19:22:34.202,169.53,0.00000000,2
2025-08-05 19:22:34.393,169.53,0.03000000,2
2025-08-05 19:22:34.576,169.53,0.03000000,2
2025-08-05 19:22:34.760,104.68,0.03000000,2
2025-08-05 19:22:34.942,104.68,0.00000000,2
2025-08-05 19:22:35.120,104.68,0.00000000,2
2025-08-05 19:22:35.301,0.00,0.00000000,2
2025-08-05 19:22:35.492,0.00,0.02000000,2
2025-08-05 19:22:35.672,0.00,0.02000000,2
2025-08-05 19:22:35.860,150.77,0.02000000,2
2025-08-05 19:22:36.041,150.77,0.02000000,2
2025-08-05 19:22:36.222,150.77,0.02000000,2
2025-08-05 19:22:36.413,1.67,0.02000000,2
2025-08-05 19:22:36.591,1.67,0.00000000,2
